id,vcpu,memory_gib,profile,os,license_model,ebs_gb,ebs_type,s3_gb,network_profile,db_engine,db_instance_class,db_storage_gb,multi_az,region
app-001,4,16,balanced,Windows,AWS,350,gp3,100,Medium,Postgres,db.m5.large,100,TRUE,us-east-1
app-002,2,8,,RHEL,BYOL,50,gp3,0,Low,,,200,FALSE,us-east-1
srv-001,2,4,general-purpose,Ubuntu 22.04 LTS,license-included,80,gp3,50,1Gbps,,,300,FALSE,us-east-1
srv-002,4,16,compute-optimized,Amazon Linux 2023,license-included,100,gp3,100,5Gbps,,,100,FALSE,us-west-2
srv-003,8,32,memory-optimized,RHEL 9,bring-your-own-license,500,io2,200,10Gbps,PostgreSQL 16,db.r7g.large,200,TRUE,eu-central-1
srv-004,16,64,memory-optimized,Ubuntu 22.04 LTS,license-included,1000,io2,300,25Gbps,MySQL 8.0,db.r7g.xlarge,300,TRUE,ap-south-1
srv-005,2,8,general-purpose,Windows Server 2022,license-included,200,gp3,50,1Gbps,,,100,FALSE,eu-west-1
srv-006,4,8,storage-optimized,Ubuntu 22.04 LTS,license-included,4000,st1,1000,10Gbps,,,200,FALSE,ap-northeast-1
srv-007,8,16,compute-optimized,Debian 12,license-included,200,gp3,150,10Gbps,,,300,FALSE,us-east-2
srv-008,32,128,gpu,Ubuntu 22.04 LTS,license-included,2000,io2,500,40Gbps,PostgreSQL 15,db.r6i.2xlarge,100,TRUE,us-west-1
srv-009,2,4,general-purpose,Amazon Linux 2023,license-included,60,gp3,20,1Gbps,,,200,FALSE,af-south-1
srv-010,48,384,memory-optimized,RHEL 9,bring-your-own-license,8000,io2,2000,100Gbps,Oracle SE2 19c,db.r7i.4xlarge,300,TRUE,eu-west-3
srv-011,4,16,database,Amazon Linux 2023,license-included,500,io2,100,5Gbps,MariaDB 10.6,db.m7g.large,100,TRUE,us-east-1
srv-012,16,32,database,Windows Server 2019,license-included,2000,io2,250,10Gbps,SQL Server 2019 SE,db.r6i.xlarge,200,TRUE,us-west-2
srv-013,8,64,memory-optimized,Ubuntu 24.04 LTS,license-included,1000,gp3,300,25Gbps,,,300,FALSE,eu-north-1
srv-014,2,2,general-purpose,Debian 12,license-included,40,gp3,10,1Gbps,,,100,FALSE,me-south-1
srv-015,32,64,compute-optimized,Ubuntu 22.04 LTS,license-included,1500,gp3,400,25Gbps,PostgreSQL 16,db.r7g.2xlarge,200,TRUE,ap-southeast-2
srv-016,64,512,memory-optimized,RHEL 8,bring-your-own-license,12000,io2,3000,100Gbps,SAP HANA (cert.),db.r6i.8xlarge,300,TRUE,eu-central-1
srv-017,4,8,general-purpose,Amazon Linux 2,license-included,120,gp3,80,5Gbps,,,100,FALSE,sa-east-1
srv-018,8,32,database,Ubuntu 22.04 LTS,license-included,1500,io2,200,10Gbps,PostgreSQL 14,db.m6g.xlarge,200,TRUE,ap-northeast-2
srv-019,16,128,storage-optimized,Amazon Linux 2023,license-included,16000,st1,5000,25Gbps,,,300,FALSE,us-east-1
srv-020,2,4,edge-optimized,Ubuntu 22.04 LTS,license-included,50,gp3,5,1Gbps,,,500,FALSE,eu-west-2
